"Status","Year","Region_ITL2","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Yorkshire and Northern Lincolnshire","Declared non-disabled","3340","3050","27960","27130"
"In post","2021","East Yorkshire and Northern Lincolnshire","Undeclared","420","380","30460","31650"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","440","430","25750","24880"
"In post","2021","Eastern Scotland","Declared disabled","1920","1780","32610","27570"
"In post","2021","Eastern Scotland","Declared non-disabled","10120","9500","35320","29190"
"In post","2021","Eastern Scotland","Undeclared","540","500","31760","27570"
"In post","2021","Eastern Scotland","Unknown","7260","6860","33540","30160"
"In post","2021","Essex","Declared disabled","710","640","30210","29290"
"In post","2021","Essex","Declared non-disabled","3850","3530","30820","29290"
"In post","2021","Essex","Undeclared","360","340","31560","29290"
"In post","2021","Essex","Unknown","670","630","30800","26760"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Declared disabled","3000","2820","34510","31810"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Declared non-disabled","20350","19320","36550","33300"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","1870","1780","37850","36300"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","4090","3910","36850","33300"
"In post","2021","Greater Manchester","Declared disabled","2140","1970","29600","27570"
"In post","2021","Greater Manchester","Declared non-disabled","13110","12300","31470","27570"
"In post","2021","Greater Manchester","Undeclared","1200","1120","30490","27570"
"In post","2021","Greater Manchester","Unknown","3260","3120","29910","25560"
"In post","2021","Hampshire and Isle of Wight","Declared disabled","1670","1520","30410","27570"
"In post","2021","Hampshire and Isle of Wight","Declared non-disabled","9770","9080","32620","28650"
"In post","2021","Hampshire and Isle of Wight","Undeclared","1190","1110","32810","31650"
"In post","2021","Hampshire and Isle of Wight","Unknown","2720","2470","31030","27030"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Declared disabled","440","400","27770","27380"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Declared non-disabled","2870","2680","27900","26300"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Undeclared","400","380","30000","30880"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Unknown","280","270","26710","24000"
"In post","2021","Highlands and Islands","Declared disabled","170","150","28210","27570"
"In post","2021","Highlands and Islands","Declared non-disabled","1400","1310","28910","27570"
"In post","2021","Highlands and Islands","Undeclared","40","40","[c]","[c]"
"In post","2021","Highlands and Islands","Unknown","350","320","28750","27570"
"In post","2021","Inner London - East","Declared disabled","1570","1480","37760","31880"
"In post","2021","Inner London - East","Declared non-disabled","11010","10470","42400","36160"
"In post","2021","Inner London - East","Undeclared","1000","930","40250","35320"
"In post","2021","Inner London - East","Unknown","3620","3500","43300","37560"
"In post","2021","Inner London - West","Declared disabled","5180","5010","44730","39800"
"In post","2021","Inner London - West","Declared non-disabled","39470","38310","47970","43200"
"In post","2021","Inner London - West","Undeclared","3660","3580","45350","40940"
"In post","2021","Inner London - West","Unknown","12840","12580","45540","40050"
"In post","2021","Kent","Declared disabled","950","890","29540","29290"
"In post","2021","Kent","Declared non-disabled","5940","5540","29490","28130"
"In post","2021","Kent","Undeclared","780","720","30430","29290"
"In post","2021","Kent","Unknown","860","830","30030","27850"
"In post","2021","Lancashire","Declared disabled","1940","1730","27100","27130"
"In post","2021","Lancashire","Declared non-disabled","9800","8900","28690","27570"
"In post","2021","Lancashire","Undeclared","1000","920","28580","27570"
"In post","2021","Lancashire","Unknown","1370","1270","26480","22350"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Declared disabled","740","670","26250","24800"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Declared non-disabled","4240","3870","27860","26780"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Undeclared","450","410","27940","27570"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Unknown","830","770","25860","22850"
"In post","2021","Lincolnshire","Declared disabled","390","360","28200","27570"
"In post","2021","Lincolnshire","Declared non-disabled","1970","1860","28080","26750"
"In post","2021","Lincolnshire","Undeclared","260","240","29010","27570"
"In post","2021","Lincolnshire","Unknown","210","200","27190","23150"
"In post","2021","Merseyside","Declared disabled","2280","2020","27850","25560"
"In post","2021","Merseyside","Declared non-disabled","13440","12250","28750","25560"
"In post","2021","Merseyside","Undeclared","870","790","29880","27570"
"In post","2021","Merseyside","Unknown","2900","2700","28610","24880"
"In post","2021","North Eastern Scotland","Declared disabled","130","130","33610","27570"
"In post","2021","North Eastern Scotland","Declared non-disabled","1050","990","38600","31060"
"In post","2021","North Eastern Scotland","Undeclared","60","50","42700","30360"
"In post","2021","North Eastern Scotland","Unknown","630","590","32110","29350"
"In post","2021","North Yorkshire","Declared disabled","460","420","32500","27570"
"In post","2021","North Yorkshire","Declared non-disabled","3330","3160","34130","29840"
"In post","2021","North Yorkshire","Undeclared","330","310","32560","30810"
"In post","2021","North Yorkshire","Unknown","610","580","31280","26670"
"In post","2021","Northern Ireland","Declared disabled","320","300","27380","25560"
"In post","2021","Northern Ireland","Declared non-disabled","2320","2180","28650","25560"
"In post","2021","Northern Ireland","Undeclared","210","200","28570","26550"
"In post","2021","Northern Ireland","Unknown","970","910","26460","22330"
"In post","2021","Northumberland and Tyne and Wear","Declared disabled","2320","2030","26830","25560"
"In post","2021","Northumberland and Tyne and Wear","Declared non-disabled","13970","12520","28990","25560"
"In post","2021","Northumberland and Tyne and Wear","Undeclared","960","880","29020","26090"
"In post","2021","Northumberland and Tyne and Wear","Unknown","4120","3690","26640","21440"
"In post","2021","Outer London - East and North East","Declared disabled","490","450","30220","31060"
"In post","2021","Outer London - East and North East","Declared non-disabled","2620","2430","30860","31060"
"In post","2021","Outer London - East and North East","Undeclared","300","280","31390","31060"
"In post","2021","Outer London - East and North East","Unknown","370","370","29160","30470"
"In post","2021","Outer London - South","Declared disabled","1080","1000","36060","31170"
"In post","2021","Outer London - South","Declared non-disabled","7700","7290","37900","33900"
"In post","2021","Outer London - South","Undeclared","570","540","38230","35030"
"In post","2021","Outer London - South","Unknown","1390","1350","36310","32520"
"In post","2021","Outer London - West and North West","Declared disabled","880","810","32000","31060"
"In post","2021","Outer London - West and North West","Declared non-disabled","6500","6020","32620","31060"
"In post","2021","Outer London - West and North West","Undeclared","550","510","34750","31060"
"In post","2021","Outer London - West and North West","Unknown","1130","1080","37260","31060"
"In post","2021","Overseas","Declared disabled","220","220","48160","45750"
"In post","2021","Overseas","Declared non-disabled","2570","2560","49430","47490"
"In post","2021","Overseas","Undeclared","160","160","47110","41800"
"In post","2021","Overseas","Unknown","800","790","52670","51870"
"In post","2021","Shropshire and Staffordshire","Declared disabled","1060","980","29310","27570"
"In post","2021","Shropshire and Staffordshire","Declared non-disabled","5620","5230","29970","27570"
"In post","2021","Shropshire and Staffordshire","Undeclared","650","600","29740","27570"
"In post","2021","Shropshire and Staffordshire","Unknown","980","930","29990","25560"
"In post","2021","South Yorkshire","Declared disabled","1230","1100","30070","27570"
"In post","2021","South Yorkshire","Declared non-disabled","7270","6610","31540","27570"
"In post","2021","South Yorkshire","Undeclared","590","560","32060","30200"
"In post","2021","South Yorkshire","Unknown","830","800","31430","27570"
"In post","2021","Southern Scotland","Declared disabled","500","450","28820","26140"
"In post","2021","Southern Scotland","Declared non-disabled","3480","3140","30290","27570"
"In post","2021","Southern Scotland","Undeclared","160","140","30480","27570"
"In post","2021","Southern Scotland","Unknown","1880","1710","27900","24110"
"In post","2021","Surrey, East and West Sussex","Declared disabled","940","850","28990","27570"
"In post","2021","Surrey, East and West Sussex","Declared non-disabled","5840","5330","30640","27570"
"In post","2021","Surrey, East and West Sussex","Undeclared","680","630","31270","29290"
"In post","2021","Surrey, East and West Sussex","Unknown","850","800","30930","27960"
"In post","2021","Tees Valley and Durham","Declared disabled","1100","970","27270","27130"
"In post","2021","Tees Valley and Durham","Declared non-disabled","6360","5740","28170","26630"
"In post","2021","Tees Valley and Durham","Undeclared","800","720","29580","30450"
"In post","2021","Tees Valley and Durham","Unknown","990","950","25470","22350"
"In post","2021","Unknown","Declared disabled","190","180","31390","27570"
"In post","2021","Unknown","Declared non-disabled","1020","950","32960","27570"
"In post","2021","Unknown","Undeclared","60","50","31670","27570"
"In post","2021","Unknown","Unknown","2470","2460","37220","32700"
"In post","2021","West Central Scotland","Declared disabled","1740","1550","28390","26160"
"In post","2021","West Central Scotland","Declared non-disabled","10930","10080","30500","27570"
"In post","2021","West Central Scotland","Undeclared","640","590","29480","26670"
"In post","2021","West Central Scotland","Unknown","4610","4330","31980","29350"
"In post","2021","West Midlands","Declared disabled","2100","1900","28930","27570"
"In post","2021","West Midlands","Declared non-disabled","12330","11330","31020","27570"
"In post","2021","West Midlands","Undeclared","890","830","30530","27570"
"In post","2021","West Midlands","Unknown","2880","2750","31380","27560"
"In post","2021","West Wales and The Valleys","Declared disabled","1760","1530","26100","22810"
"In post","2021","West Wales and The Valleys","Declared non-disabled","11480","10390","29310","26780"
"In post","2021","West Wales and The Valleys","Undeclared","950","860","28730","26350"
"In post","2021","West Wales and The Valleys","Unknown","1520","1420","26680","22350"
"In post","2021","West Yorkshire","Declared disabled","1800","1620","30250","27570"
"In post","2021","West Yorkshire","Declared non-disabled","11040","10160","31770","27570"
"In post","2021","West Yorkshire","Undeclared","940","860","30740","28130"
"In post","2021","West Yorkshire","Unknown","3460","3320","31000","25560"
"In post","2022","Bedfordshire and Hertfordshire","Declared disabled","550","500","32170","29290"
"In post","2022","Bedfordshire and Hertfordshire","Declared non-disabled","3150","2960","33440","29290"
"In post","2022","Bedfordshire and Hertfordshire","Undeclared","260","240","33340","30700"
"In post","2022","Bedfordshire and Hertfordshire","Unknown","750","720","35120","32120"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","1040","980","32410","29290"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","6300","5980","33410","29530"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","720","680","34050","33430"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Unknown","1470","1400","34810","30700"
"In post","2022","Cheshire","Declared disabled","460","420","30370","27570"
"In post","2022","Cheshire","Declared non-disabled","2500","2330","31480","27570"
"In post","2022","Cheshire","Undeclared","280","260","31040","31180"
"In post","2022","Cheshire","Unknown","1140","1110","33960","32770"
"In post","2022","Cornwall and Isles of Scilly","Declared disabled","250","230","26730","27570"
"In post","2022","Cornwall and Isles of Scilly","Declared non-disabled","1250","1150","27850","26840"
"In post","2022","Cornwall and Isles of Scilly","Undeclared","90","90","27930","26710"
"In post","2022","Cornwall and Isles of Scilly","Unknown","170","160","28790","24090"
"In post","2022","Cumbria","Declared disabled","260","230","28950","25930"
"In post","2022","Cumbria","Declared non-disabled","1790","1640","28450","25100"
"In post","2022","Cumbria","Undeclared","120","110","30490","27570"
"In post","2022","Cumbria","Unknown","150","140","31180","27570"
"In post","2022","Derbyshire and Nottinghamshire","Declared disabled","1740","1600","30220","27570"
"In post","2022","Derbyshire and Nottinghamshire","Declared non-disabled","8890","8250","32580","27570"
"In post","2022","Derbyshire and Nottinghamshire","Undeclared","800","740","32050","29190"
"In post","2022","Derbyshire and Nottinghamshire","Unknown","2270","2170","30760","26820"
"In post","2022","Devon","Declared disabled","1060","950","29250","27570"
"In post","2022","Devon","Declared non-disabled","6760","6210","33070","28080"
"In post","2022","Devon","Undeclared","470","430","30440","27570"
"In post","2022","Devon","Unknown","1030","980","29070","25120"
"In post","2022","Dorset and Somerset","Declared disabled","660","600","29460","27570"
"In post","2022","Dorset and Somerset","Declared non-disabled","3680","3430","30530","27570"
"In post","2022","Dorset and Somerset","Undeclared","400","370","31210","28700"
"In post","2022","Dorset and Somerset","Unknown","730","690","30980","27130"
"In post","2022","East Anglia","Declared disabled","1480","1350","29690","27570"
"In post","2022","East Anglia","Declared non-disabled","8780","8190","30380","27570"
"In post","2022","East Anglia","Undeclared","1030","950","31190","31180"
"In post","2022","East Anglia","Unknown","1630","1540","31760","27260"
"In post","2022","East Wales","Declared disabled","1900","1750","32260","27570"
"In post","2022","East Wales","Declared non-disabled","13990","13150","34950","30450"
"In post","2022","East Wales","Undeclared","910","860","32450","29470"
"In post","2022","East Wales","Unknown","4060","3860","31400","26880"
"In post","2022","East Yorkshire and Northern Lincolnshire","Declared disabled","550","490","27730","27380"
"In post","2022","East Yorkshire and Northern Lincolnshire","Declared non-disabled","3490","3180","28620","27130"
"In post","2022","East Yorkshire and Northern Lincolnshire","Undeclared","400","370","30740","31300"
"In post","2022","East Yorkshire and Northern Lincolnshire","Unknown","510","490","26690","24880"
"In post","2022","Eastern Scotland","Declared disabled","2060","1920","33870","28990"
"In post","2022","Eastern Scotland","Declared non-disabled","11180","10570","36350","30840"
"In post","2022","Eastern Scotland","Undeclared","570","530","33360","27570"
"In post","2022","Eastern Scotland","Unknown","7180","6790","35320","31800"
"In post","2022","Essex","Declared disabled","690","620","30280","29290"
"In post","2022","Essex","Declared non-disabled","3590","3310","31500","29290"
"In post","2022","Essex","Undeclared","300","280","31750","29290"
"In post","2022","Essex","Unknown","740","690","30830","26820"
"In post","2022","Gloucestershire, Wiltshire and Bath/Bristol area","Declared disabled","3030","2850","34850","32380"
"In post","2022","Gloucestershire, Wiltshire and Bath/Bristol area","Declared non-disabled","21610","20560","36970","33350"
"In post","2022","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","1650","1560","37250","33840"
"In post","2022","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","3880","3710","36790","33080"
"In post","2022","Greater Manchester","Declared disabled","2390","2210","30950","27570"
"In post","2022","Greater Manchester","Declared non-disabled","13920","13110","32530","27570"
"In post","2022","Greater Manchester","Undeclared","1200","1130","31960","29360"
"In post","2022","Greater Manchester","Unknown","4090","3930","31820","27570"
"In post","2022","Hampshire and Isle of Wight","Declared disabled","1660","1490","30650","27570"
"In post","2022","Hampshire and Isle of Wight","Declared non-disabled","10390","9680","33990","30450"
"In post","2022","Hampshire and Isle of Wight","Undeclared","1000","920","31670","29670"
"In post","2022","Hampshire and Isle of Wight","Unknown","2520","2270","31470","26830"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Declared disabled","480","440","28870","27570"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Declared non-disabled","2960","2770","29030","26700"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Undeclared","390","370","30400","30450"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Unknown","360","340","28940","24770"
"In post","2022","Highlands and Islands","Declared disabled","180","160","28940","27570"
"In post","2022","Highlands and Islands","Declared non-disabled","1430","1350","29990","27570"
"In post","2022","Highlands and Islands","Undeclared","50","40","[c]","[c]"
"In post","2022","Highlands and Islands","Unknown","350","330","30420","27940"
"In post","2022","Inner London - East","Declared disabled","1860","1760","38740","33440"
"In post","2022","Inner London - East","Declared non-disabled","11910","11410","42900","37610"
"In post","2022","Inner London - East","Undeclared","930","890","40490","35900"
"In post","2022","Inner London - East","Unknown","4350","4190","42680","37930"
"In post","2022","Inner London - West","Declared disabled","5450","5280","45430","40600"
"In post","2022","Inner London - West","Declared non-disabled","38320","37190","48580","44500"
"In post","2022","Inner London - West","Undeclared","3020","2950","46590","42250"
"In post","2022","Inner London - West","Unknown","13970","13730","46280","40650"
"In post","2022","Kent","Declared disabled","990","920","29870","29260"
"In post","2022","Kent","Declared non-disabled","5940","5550","30140","28710"
"In post","2022","Kent","Undeclared","690","640","30300","29290"
"In post","2022","Kent","Unknown","1140","1090","29260","26640"
"In post","2022","Lancashire","Declared disabled","2070","1850","27880","27570"
"In post","2022","Lancashire","Declared non-disabled","10240","9360","29650","27570"
"In post","2022","Lancashire","Undeclared","1000","910","29180","27570"
"In post","2022","Lancashire","Unknown","1480","1380","28350","24800"
"In post","2022","Leicestershire, Rutland and Northamptonshire","Declared disabled","800","720","27210","26830"
"In post","2022","Leicestershire, Rutland and Northamptonshire","Declared non-disabled","4290","3940","28580","26950"
"In post","2022","Leicestershire, Rutland and Northamptonshire","Undeclared","440","400","29000","27570"
"In post","2022","Leicestershire, Rutland and Northamptonshire","Unknown","750","710","26930","24260"
"In post","2022","Lincolnshire","Declared disabled","410","380","28500","27570"
"In post","2022","Lincolnshire","Declared non-disabled","2100","1970","28880","26930"
"In post","2022","Lincolnshire","Undeclared","270","260","29470","27570"
"In post","2022","Lincolnshire","Unknown","230","220","28760","26110"
"In post","2022","Merseyside","Declared disabled","2500","2240","28770","26820"
"In post","2022","Merseyside","Declared non-disabled","14290","13170","29800","26820"
"In post","2022","Merseyside","Undeclared","900","820","30620","27570"
"In post","2022","Merseyside","Unknown","3540","3340","28930","24900"
"In post","2022","North Eastern Scotland","Declared disabled","130","130","33920","27750"
"In post","2022","North Eastern Scotland","Declared non-disabled","1120","1050","38920","31540"
"In post","2022","North Eastern Scotland","Undeclared","60","50","41370","30360"
"In post","2022","North Eastern Scotland","Unknown","630","590","33140","30680"
"In post","2022","North Yorkshire","Declared disabled","490","460","31710","27570"
"In post","2022","North Yorkshire","Declared non-disabled","3230","3070","33160","29270"
"In post","2022","North Yorkshire","Undeclared","300","280","31860","29390"
"In post","2022","North Yorkshire","Unknown","640","600","32810","28200"
"In post","2022","Northern Ireland","Declared disabled","340","310","29440","26820"
"In post","2022","Northern Ireland","Declared non-disabled","2560","2430","30190","26820"
"In post","2022","Northern Ireland","Undeclared","220","210","29910","26820"
"In post","2022","Northern Ireland","Unknown","1140","1090","28390","24880"
"In post","2022","Northumberland, and Tyne and Wear","Declared disabled","2600","2300","28260","26820"
"In post","2022","Northumberland, and Tyne and Wear","Declared non-disabled","15370","13960","30610","27570"
"In post","2022","Northumberland, and Tyne and Wear","Undeclared","1020","940","30660","27570"
"In post","2022","Northumberland, and Tyne and Wear","Unknown","4260","3880","28970","26590"
"In post","2022","Outer London - East and North East","Declared disabled","530","490","30950","31060"
"In post","2022","Outer London - East and North East","Declared non-disabled","2820","2630","31650","31060"
"In post","2022","Outer London - East and North East","Undeclared","290","270","32040","31060"
"In post","2022","Outer London - East and North East","Unknown","420","410","30440","30460"
"In post","2022","Outer London - South","Declared disabled","1210","1130","37480","33230"
"In post","2022","Outer London - South","Declared non-disabled","7950","7540","39090","35070"
"In post","2022","Outer London - South","Undeclared","620","590","39800","35200"
"In post","2022","Outer London - South","Unknown","2040","1990","38740","35050"
"In post","2022","Outer London - West and North West","Declared disabled","880","810","32430","31060"
"In post","2022","Outer London - West and North West","Declared non-disabled","6370","5930","33320","31060"
"In post","2022","Outer London - West and North West","Undeclared","490","460","33900","31060"
"In post","2022","Outer London - West and North West","Unknown","1390","1330","36750","31060"
"In post","2022","Overseas","Declared disabled","240","240","47790","44970"
"In post","2022","Overseas","Declared non-disabled","2350","2340","49080","47470"
"In post","2022","Overseas","Undeclared","160","160","46740","41820"
"In post","2022","Overseas","Unknown","940","930","51580","51500"
"In post","2022","Shropshire and Staffordshire","Declared disabled","1170","1070","29900","27570"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","6050","5650","31160","27570"
"In post","2022","Shropshire and Staffordshire","Undeclared","650","600","30770","27570"
"In post","2022","Shropshire and Staffordshire","Unknown","1050","990","32140","26610"
"In post","2022","South Yorkshire","Declared disabled","1310","1180","30610","27570"
"In post","2022","South Yorkshire","Declared non-disabled","7250","6600","32340","27570"
"In post","2022","South Yorkshire","Undeclared","580","540","32740","30820"
"In post","2022","South Yorkshire","Unknown","1340","1290","32720","28200"
"In post","2022","Southern Scotland","Declared disabled","540","480","29180","26990"
"In post","2022","Southern Scotland","Declared non-disabled","3730","3410","30930","27570"
"In post","2022","Southern Scotland","Undeclared","180","160","30860","27370"
"In post","2022","Southern Scotland","Unknown","1800","1650","29130","26120"
"In post","2022","Surrey, East and West Sussex","Declared disabled","1040","940","30070","27570"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","6080","5570","31600","28140"
"In post","2022","Surrey, East and West Sussex","Undeclared","660","610","32440","30170"
"In post","2022","Surrey, East and West Sussex","Unknown","1000","930","32380","27760"
"In post","2022","Tees Valley and Durham","Declared disabled","1230","1090","28220","27570"
"In post","2022","Tees Valley and Durham","Declared non-disabled","6650","6050","29160","27130"
"In post","2022","Tees Valley and Durham","Undeclared","800","710","30390","31150"
"In post","2022","Tees Valley and Durham","Unknown","1180","1130","27800","24880"
"In post","2022","Unknown","Declared disabled","150","140","32460","28000"
"In post","2022","Unknown","Declared non-disabled","850","810","33320","29390"
"In post","2022","Unknown","Undeclared","60","50","35620","31060"
"In post","2022","Unknown","Unknown","2260","2240","37180","32700"
"In post","2022","West Central Scotland","Declared disabled","1930","1750","29600","27570"
"In post","2022","West Central Scotland","Declared non-disabled","11990","11160","32000","27570"
"In post","2022","West Central Scotland","Undeclared","690","640","30500","27570"
"In post","2022","West Central Scotland","Unknown","5230","4950","32940","30450"
"In post","2022","West Midlands","Declared disabled","2380","2160","29970","27570"
"In post","2022","West Midlands","Declared non-disabled","13160","12180","31540","27570"
"In post","2022","West Midlands","Undeclared","900","830","30810","27570"
"In post","2022","West Midlands","Unknown","3630","3460","31860","27570"
"In post","2022","West Wales and The Valleys","Declared disabled","1930","1690","26660","25570"
"In post","2022","West Wales and The Valleys","Declared non-disabled","12320","11230","29760","27030"
"In post","2022","West Wales and The Valleys","Undeclared","1000","900","29230","26750"
"In post","2022","West Wales and The Valleys","Unknown","1800","1680","27750","22600"
"In post","2022","West Yorkshire","Declared disabled","2020","1830","31560","27570"
"In post","2022","West Yorkshire","Declared non-disabled","12100","11230","33000","27570"
"In post","2022","West Yorkshire","Undeclared","970","890","31950","30450"
"In post","2022","West Yorkshire","Unknown","4060","3890","32480","27570"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Declared disabled","60","50","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Declared non-disabled","250","220","30890","25740"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Unknown","130","120","30610","26910"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","80","70","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","380","350","33330","29330"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","50","50","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","200","190","29400","24970"
"Leaver CS","2021","Cheshire","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Declared non-disabled","100","80","26320","21010"
"Leaver CS","2021","Cheshire","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","Cornwall and Isles of Scilly","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cornwall and Isles of Scilly","Declared non-disabled","50","40","[c]","[c]"
"Leaver CS","2021","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cumbria","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cumbria","Declared non-disabled","60","50","[c]","[c]"
"Leaver CS","2021","Cumbria","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cumbria","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","Derbyshire and Nottinghamshire","Declared disabled","80","70","[c]","[c]"
"Leaver CS","2021","Derbyshire and Nottinghamshire","Declared non-disabled","370","320","27390","23200"
"Leaver CS","2021","Derbyshire and Nottinghamshire","Undeclared","40","30","[c]","[c]"
"Leaver CS","2021","Derbyshire and Nottinghamshire","Unknown","150","140","26040","24250"
"Leaver CS","2021","Devon","Declared disabled","60","50","[c]","[c]"
"Leaver CS","2021","Devon","Declared non-disabled","370","320","26430","21580"
"Leaver CS","2021","Devon","Undeclared","50","50","[c]","[c]"
"Leaver CS","2021","Devon","Unknown","130","120","26520","21620"
"Leaver CS","2021","Dorset and Somerset","Declared disabled","50","50","[c]","[c]"
"Leaver CS","2021","Dorset and Somerset","Declared non-disabled","210","190","29380","27130"
"Leaver CS","2021","Dorset and Somerset","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Dorset and Somerset","Unknown","60","50","30010","27570"
"Leaver CS","2021","East Anglia","Declared disabled","110","100","28040","26990"
"Leaver CS","2021","East Anglia","Declared non-disabled","560","500","30310","26670"
"Leaver CS","2021","East Anglia","Undeclared","110","90","[c]","[c]"
