"Status","Year","Ethnicity","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Defence Equipment and Support","50","50","24380","20170"
"In post","2021","Asian","Communications","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","HM Revenue and Customs (excl. agencies)","280","270","28660","25560"
"In post","2021","Asian","Communications","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","HM Revenue and Customs (excl. agencies)","570","550","31870","29570"
"In post","2021","Asian","Counter Fraud","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","HM Revenue and Customs (excl. agencies)","350","300","23540","24120"
"In post","2021","Asian","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Cabinet Office (excl. agencies)","100","100","48370","54700"
"In post","2021","Asian","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Department for Education (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Education and Skills Funding Agency","30","30","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","160","160","38970","32340"
"In post","2021","Asian","Digital, Data & Technology","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Ministry of Justice (excl. agencies)","70","70","46800","42120"
"In post","2021","Asian","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
