"Status","Year","Disability","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Companies House","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Operational Delivery","40","30","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Legal","40","40","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Operational Delivery","50","50","26340","22220"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Legal","330","310","56340","55610"
"In post","2021","Declared disabled","Crown Prosecution Service","Operational Delivery","330","300","28030","25480"
"In post","2021","Declared disabled","Crown Prosecution Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Commercial","90","90","41070","36630"
"In post","2021","Declared disabled","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Digital, Data and Technology","50","50","35490","34730"
"In post","2021","Declared disabled","Defence Equipment and Support","Finance","50","40","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Other","380","360","30330","27100"
"In post","2021","Declared disabled","Defence Equipment and Support","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Project Delivery","190","190","39070","39230"
"In post","2021","Declared disabled","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Science and Engineering","240","230","37820","38250"
"In post","2021","Declared disabled","Defence Equipment and Support","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Operational Research","70","70","39640","37320"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Project Delivery","50","50","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Science and Engineering","240","230","37550","37320"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","50","50","46730","36740"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","340","330","46700","40650"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Policy","70","70","45170","37160"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Digital, Data and Technology","50","50","38450","36780"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Finance","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Operational Delivery","60","60","37520","33460"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Policy","270","260","43870","38000"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Property","50","50","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","70","70","43580","43320"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","40","40","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","40","40","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","250","250","40060","35900"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","40","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","50","50","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","International Trade","90","90","46700","48680"
"In post","2021","Declared disabled","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
